客編,Prediction,Predicted_Class
9854,0.99997115,1
39412,0.99997115,1
43262,0.87209123,1
72086,0.9959907,1
84332,0.57772195,1
129182,0.99931633,1
148029,1.0,1
682681,0.974719,1
704806,1.0,1
707978,1.0,1
721439,1.0,1
730489,0.9984692,1
793928,1.0,1
841413,0.9999541,1
843284,0.9999825,1
851291,0.99765307,1
925294,0.99994886,1
936574,0.9988224,1
947504,0.9992699,1
992370,0.57772195,1
994639,1.0,1
1062580,0.99998176,1
1109807,0.9999969,1
1135660,0.9992699,1
1135666,0.9999981,1
1153329,0.99986374,1
1156314,1.0,1
1162174,1.0,1
1170430,0.99999964,1
1189812,0.9999999,1
1190718,0.9828043,1
1215905,1.0,1
1228433,0.9999894,1
1232713,0.9596609,1
1233951,0.9992699,1
1246251,0.99814785,1
1262165,0.9988971,1
1267902,0.9941012,1
