客編,平均繳款延遲日數,paytype_1,paytype_3,paytype_6,paytype_12,paytype_15,paytype_99,paymethod_APP臨櫃代收(7-11),paymethod_CVS臨櫃代收(7-11),paymethod_信用卡扣款,paymethod_其他繳款方式,paymethod_廠商代收,paymethod_當月繳帳單,paymethod_簡訊帳單臨櫃代收(7-11),paymethod_金融機構轉帳
895701,-46.7,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1129002,19.333333333333332,1,0,0,0,0,0,0,0,0,1,0,0,0,0
223725,13.42,0,0,0,1,0,0,0,1,0,0,0,0,0,0
533302,-43.285714285714285,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1026745,-34.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1186603,-46.333333333333336,0,0,1,0,0,0,0,1,0,0,0,0,0,0
202987,-35.833333333333336,1,0,0,0,0,0,0,0,0,0,0,0,0,1
684035,-57.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
663721,-59.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1079601,-33.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1205053,-50.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
171024,-45.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0
486397,-59.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0
637347,-37.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1197992,-22.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
564567,-58.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
550979,-27.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
728762,-48.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
609714,-59.4,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1182771,9.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0
766725,-14.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
159624,-25.333333333333332,0,0,1,0,0,0,0,0,0,0,0,0,0,1
227644,-38.166666666666664,0,0,1,0,0,0,0,0,0,0,0,0,1,0
566264,-55.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
777329,-3.8461538461538463,1,0,0,0,0,0,0,0,0,0,0,0,1,0
493026,-34.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
999374,-52.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
383551,-18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
743815,-57.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1206042,-2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
885634,-53.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
774652,-46.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
846160,-46.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1043690,-42.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
572363,-9.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1133830,-36.25,0,0,1,0,0,0,0,1,0,0,0,0,0,0
414892,-16.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
805210,-25.285714285714285,0,0,1,0,0,0,0,0,0,0,0,0,0,1
669713,-42.42857142857143,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1075534,-46.857142857142854,0,0,1,0,0,0,0,1,0,0,0,0,0,0
640229,-28.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
551013,-58.666666666666664,0,0,0,1,0,0,0,0,0,0,0,1,0,0
126539,-50.25,0,0,0,1,0,0,0,0,0,0,0,0,1,0
584747,-16.857142857142858,0,0,1,0,0,0,0,0,0,0,0,1,0,0
643614,-32.666666666666664,0,0,1,0,0,0,0,0,0,0,0,0,1,0
327536,-53.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
851541,-54.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1209656,-24.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
204976,-50.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
504966,-26.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
338758,-51.666666666666664,0,0,1,0,0,0,0,1,0,0,0,0,0,0
456674,-17.142857142857142,0,0,1,0,0,0,0,1,0,0,0,0,0,0
504071,-58.75,0,0,1,0,0,0,0,0,0,0,0,0,1,0
586312,-41.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
160983,-46.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
581062,-31.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
582461,-54.8,0,0,1,0,0,0,0,1,0,0,0,0,0,0
215617,-49.8,0,0,1,0,0,0,0,1,0,0,0,0,0,0
405269,-12.272727272727273,1,0,0,0,0,0,0,0,0,0,0,1,0,0
518409,-16.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1183572,-53.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
518533,-46.666666666666664,0,0,1,0,0,0,0,1,0,0,0,0,0,0
633816,-50.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1073230,-51.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
778653,-26.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1
234723,-54.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
894532,-41.333333333333336,0,0,0,1,0,0,0,0,0,0,0,0,1,0
282017,-16.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
749688,-37.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
550777,-48.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
229607,-29.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
189354,-34.8,0,0,1,0,0,0,0,0,0,0,0,0,1,0
