CUST_NO,CALL_COUNT,MAIN_CATEGORY,SUB_CATEGORY,AVG_SENTIMENT_SCORE
1037415,3,網路連線問題,網路品質,-0.3333333333333333
1260839,3,經銷商問題,台哥大-電訪約裝,0.0
937206,1,帳務問題,用戶要求優惠,0.0
983447,1,網路連線問題,無法上網,0.0
1062324,1,網路連線問題,無法上網,0.0
1194741,2,經銷商問題,台哥大-電訪約裝,0.0
1222336,8,經銷商問題,台哥大-電訪約裝,0.375
1242086,5,經銷商問題,台哥大-電訪約裝,0.0
1242154,2,經銷商問題,遠傳電信-電訪約裝,-0.5
447998,2,網路連線問題,無法上網,0.0
1152226,2,網路連線問題,無法上網,-0.5
810688,1,網路連線問題,無法上網,-1.0
734491,1,網路連線問題,Cable modem連線,0.0
190473,1,網路連線問題,無法上網,0.0
1098138,1,網路連線問題,無法上網,0.0
1242126,6,經銷商問題,台哥大-電訪約裝,0.16666666666666666
1242128,2,經銷商問題,遠傳電信-電訪約裝,0.0
753149,4,帳務問題,用戶要求優惠,-0.5
1180845,1,網路連線問題,網路品質,-1.0
141795,3,帳務問題,用戶要求優惠,0.3333333333333333
639866,4,帳務問題,網路品質,-0.75
665894,3,網路連線問題,Cable modem連線,-0.6666666666666666
1253381,2,經銷商問題,遠傳電信-電訪約裝,0.0
782915,1,網路連線問題,無法上網,0.0
325014,3,網路連線問題,網路品質,0.3333333333333333
97476,2,網路連線問題,無法上網,-0.5
692469,1,網路連線問題,無法上網,0.0
1230005,2,經銷商問題,遠傳電信-電訪約裝,0.0
1230038,5,經銷商問題,台哥大-電訪約裝,0.0
1147817,4,經銷商問題,台哥大-電訪約裝,0.0
1084403,1,網路連線問題,網路品質,-1.0
702410,1,帳務相關,拆機挽回,0.0
1232491,4,經銷商問題,遠傳電信-電訪約裝,0.25
1154382,1,網路連線問題,Cable modem連線,-1.0
1187817,1,網路連線問題,無法上網,-1.0
1224114,3,經銷商問題,台哥大-電訪約裝,0.0
901746,2,網路連線問題,無法上網,0.0
625758,4,網路連線問題,無法上網,-0.5
1001437,1,帳務相關,拆機挽回,0.0
1135343,1,網路連線問題,無法上網,0.0
116408,1,網路連線問題,無法上網,-1.0
1231783,2,經銷商問題,台哥大-電訪約裝,0.0
1221081,2,經銷商問題,台哥大-電訪約裝,0.0
1150434,2,網路連線問題,無法上網,0.0
712623,1,網路連線問題,無法上網,0.0
779177,6,帳務問題,用戶要求優惠,0.16666666666666666
1070998,2,帳務問題,Cable modem連線,-1.0
1230751,5,經銷商問題,台哥大-電訪約裝,-0.2
1146101,1,網路連線問題,無法上網,-1.0
1119297,1,帳務相關,拆機挽回,0.0
872091,3,網路連線問題,無法上網,-0.6666666666666666
1232696,2,經銷商問題,遠傳電信-電訪約裝,0.0
1232519,2,帳務相關,拆機挽回,0.0
925932,2,帳務問題,用戶退租,0.0
738074,1,網路連線問題,無法上網,1.0
1179419,9,帳務問題,方案異動CM轉EPON,0.1111111111111111
969951,2,網路連線問題,無法上網,0.0
828932,6,網路連線問題,無法上網,-0.16666666666666666
1229951,2,經銷商問題,台哥大-電訪約裝,0.0
1231870,2,經銷商問題,遠傳電信-電訪約裝,0.5
