CUST_NO,CALL_COUNT,MAIN_CATEGORY,SUB_CATEGORY,AVG_SENTIMENT_SCORE
1216408,1,網路連線問題,網路品質,0.0
1148707,1,帳務相關,拆機挽回,0.0
1228870,1,帳務相關,拆機挽回,0.0
686820,2,帳務問題,拆機挽回,0.5
697482,1,帳務相關,拆機挽回,0.0
1184589,2,經銷商問題,台哥大-電訪約裝,0.5
1176799,1,網路連線問題,無法上網,0.0
1259923,1,網路連線問題,Cable modem連線,0.0
946850,2,網路連線問題,無法上網,0.0
871321,1,帳務相關,拆機挽回,0.0
1195781,2,經銷商問題,台哥大-電訪約裝,0.0
1155220,1,帳務相關,拆機挽回,0.0
855551,1,網路連線問題,網路品質,0.0
1194521,1,網路連線問題,Cable modem連線,-1.0
1070160,1,帳務問題,繳費相關問題,0.0
1150343,1,帳務問題,繳費相關問題,0.0
1182608,4,經銷商問題,台哥大-人員進電,0.0
701354,1,網路連線問題,網路品質,0.0
1238343,1,網路連線問題,無法上網,0.0
1148927,3,經銷商問題,台哥大-人員進電,0.6666666666666666
1265960,1,經銷商問題,台哥大-電訪約裝,0.0
1153329,1,網路連線問題,網路品質,0.0
1266588,2,經銷商問題,台哥大-電訪約裝,0.0
1248549,2,經銷商問題,遠傳電信-人員進電,-1.5
689106,1,網路連線問題,無法上網,0.0
1266346,2,經銷商問題,台哥大-電訪約裝,0.0
1167310,1,網路連線問題,無法上網,1.0
1265772,3,經銷商問題,台哥大-電訪約裝,0.0
1263793,2,經銷商問題,台哥大-電訪約裝,0.0
1876,1,帳務問題,繳費相關問題,0.0
1182306,1,帳務問題,繳費相關問題,0.0
1179090,1,非連線問題,用戶移機,0.0
863949,1,網路連線問題,無法上網,-1.0
1258283,1,經銷商問題,遠傳電信-電訪約裝,0.0
1217040,4,經銷商問題,遠傳電信-電訪約裝,0.0
127854,1,網路連線問題,無法上網,0.0
59440,1,經銷商問題,台哥大-電訪約裝,0.0
1266481,1,經銷商問題,遠傳電信-電訪約裝,0.0
85071,1,網路連線問題,網路品質,1.0
682230,1,網路連線問題,無法上網,0.0
1168941,7,經銷商問題,台哥大-電訪約裝,0.0
954104,1,網路連線問題,無法上網,0.0
799050,5,帳務問題,繳費相關問題,0.0
1083826,2,網路連線問題,無法上網,0.0
1248600,1,網路連線問題,無法上網,-1.0
1184738,1,網路連線問題,無法上網,1.0
1266466,2,經銷商問題,遠傳電信-電訪約裝,0.0
