客編,30天內,60天內,90天內,90天以上,平均等待天數,平均繳款延遲日數,產品名稱,paytype_1,paytype_3,paytype_6,paytype_12,paytype_15,paytype_99,product_0,product_1,paymethod_CVS臨櫃代收(7-11),paymethod_信用卡扣款,paymethod_其他繳款方式,paymethod_廠商代收,paymethod_簡訊帳單臨櫃代收(7-11),paymethod_金融機構轉帳
1167310,1,0,0,0,0.0,67.33333333333333,CM,1,0,0,0,0,0,1,0,0,0,0,1,0,0
901684,1,0,0,0,9.0,2.0,EPON,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1170176,1,0,0,0,0.0,50.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1246251,1,0,0,0,0.0,12.5,CM,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1185914,1,0,0,0,0.0,57.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1176251,1,0,0,0,0.0,57.333333333333336,CM,1,0,0,0,0,0,1,0,0,0,0,1,0,0
966707,1,0,0,0,0.0,-38.0,EPON,0,0,1,0,0,0,0,1,1,0,0,0,0,0
1218428,1,0,0,0,0.0,69.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1169905,1,0,0,0,0.0,-15.0,EPON,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1242309,1,0,0,0,0.0,54.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1170399,1,0,0,0,0.0,67.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1155335,1,0,0,0,0.0,72.33333333333333,CM,1,0,0,0,0,0,1,0,0,0,0,1,0,0
731113,1,0,0,0,0.0,-28.0,EPON,0,0,0,1,0,0,0,1,1,0,0,0,0,0
135870,1,0,0,0,0.0,-6.0,EPON,0,0,1,0,0,0,0,1,0,0,0,0,1,0
833126,2,0,0,0,0.0,-4.0,EPON,0,0,0,1,0,0,0,1,1,0,0,0,0,0
120877,1,0,0,0,0.0,27.25,EPON,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1264454,1,0,0,0,0.0,61.5,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1180716,1,0,0,0,0.0,64.33333333333333,CM,1,0,0,0,0,0,1,0,0,0,0,1,0,0
854596,1,0,0,0,0.0,62.0,EPON,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1195781,1,0,0,0,0.0,72.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1265278,1,0,0,0,0.0,50.0,CM,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1138782,1,0,0,0,0.0,67.33333333333333,CM,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1170430,1,0,0,0,0.0,6.0,EPON,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1241476,1,0,0,0,0.0,77.66666666666667,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1205107,2,0,0,0,0.0,3.0,EPON,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1148695,1,0,0,0,0.0,59.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
54643,1,0,0,0,0.0,-14.0,EPON,0,0,1,0,0,0,0,1,1,0,0,0,0,0
1094745,1,0,0,0,0.0,-25.0,EPON,0,0,1,0,0,0,0,1,1,0,0,0,0,0
1167870,1,0,0,0,0.0,55.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1231424,1,0,0,0,0.0,57.333333333333336,CM,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1228433,1,0,0,0,0.0,7.0,EPON,0,0,0,1,0,0,0,1,1,0,0,0,0,0
830178,1,0,0,0,0.0,-5.0,CM,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1237189,1,0,0,0,0.0,79.66666666666667,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
84332,1,0,0,0,0.0,1.0,CM,0,0,1,0,0,0,1,0,1,0,0,0,0,0
892045,1,0,0,0,-1.0,-12.0,EPON,0,0,1,0,0,0,0,1,0,0,0,0,1,0
707978,1,0,0,0,0.0,12.0,CM,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1251228,1,0,0,0,0.0,50.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
725068,1,0,0,0,0.0,-15.0,CM,0,0,0,1,0,0,1,0,1,0,0,0,0,0
1047436,2,1,0,0,1.0,-16.0,CM,0,0,1,0,0,0,1,0,1,0,0,0,0,0
140412,1,0,0,0,0.0,-11.0,EPON,0,0,1,0,0,0,0,1,1,0,0,0,0,0
1264743,1,0,0,0,0.0,63.0,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1174077,1,0,0,0,0.0,69.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1154898,1,0,0,0,0.0,57.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1246818,1,0,0,0,0.0,62.66666666666666,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
971962,1,0,0,0,0.0,-23.0,EPON,0,0,0,1,0,0,0,1,0,0,0,0,1,0
678951,1,0,0,0,0.0,25.0,EPON,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1238343,1,0,0,0,0.0,-17.0,EPON,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1181170,1,0,0,0,0.0,50.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
741192,1,0,0,0,0.0,52.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1148927,1,0,0,0,0.0,52.333333333333336,CM,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1217742,1,0,0,0,0.0,68.66666666666667,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1123157,1,0,0,0,0.0,-25.0,EPON,0,0,0,1,0,0,0,1,1,0,0,0,0,0
681681,1,0,0,0,0.0,-15.0,EPON,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1157687,1,0,0,0,0.0,0.0,EPON,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1037432,1,0,1,0,0.0,74.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1212572,1,0,0,0,0.0,72.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1252905,1,0,0,0,0.0,52.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1045981,1,0,0,0,0.0,71.66666666666667,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
46377,1,0,0,0,0.0,-22.0,EPON,0,0,0,1,0,0,0,1,1,0,0,0,0,0
750398,1,0,0,0,0.0,59.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1263640,2,1,0,0,0.0,48.66666666666666,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
76669,2,0,0,0,0.0,-4.0,CM,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1194521,1,0,0,0,0.0,-20.0,EPON,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1172497,1,0,0,0,0.0,69.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
42561,1,0,0,0,0.0,77.66666666666667,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1170963,1,0,0,0,0.0,64.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1081759,1,0,0,0,0.0,67.33333333333333,CM,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1263805,1,0,0,0,0.0,64.0,CM,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1215322,1,0,0,0,0.0,65.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1227754,1,0,0,0,0.0,69.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1215905,1,0,0,0,0.0,9.0,CM,0,0,1,0,0,0,1,0,0,0,0,0,1,0
879602,1,0,0,0,0.0,-25.0,CM,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1157522,1,0,0,0,0.0,65.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
682654,1,0,0,0,0.0,-19.0,EPON,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1143530,1,0,0,0,0.0,74.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1151447,2,0,0,0,0.0,57.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1253722,1,0,0,0,0.0,75.33333333333333,CM,1,0,0,0,0,0,1,0,0,0,0,1,0,0
687810,1,0,0,0,0.0,-10.0,EPON,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1248600,1,0,0,0,0.0,71.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
890361,1,0,0,0,12.0,-4.0,CM,0,0,1,0,0,0,1,0,1,0,0,0,0,0
43262,1,0,0,0,0.0,18.0,CM,0,0,1,0,0,0,1,0,1,0,0,0,0,0
730489,1,0,0,0,0.0,4.5,EPON,1,0,0,0,0,0,0,1,1,0,0,0,0,0
1216259,1,0,0,0,0.0,57.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1264815,1,0,0,0,0.0,51.0,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1255618,1,0,0,0,0.0,50.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1143543,1,0,0,0,0.0,-8.0,EPON,0,0,1,0,0,0,0,1,1,0,0,0,0,0
1236384,1,0,0,0,0.0,74.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1030560,1,0,0,0,0.0,-27.0,CM,0,0,0,1,0,0,1,0,1,0,0,0,0,0
885068,2,0,0,0,0.0,25.0,CM,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1190833,1,0,0,0,0.0,67.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1158428,1,0,0,0,0.0,64.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1215011,1,0,0,0,0.0,50.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1190311,1,0,0,0,0.0,59.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1153329,1,0,0,0,0.0,10.0,EPON,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1259720,1,0,0,0,0.0,77.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
41614,1,0,0,0,6.0,-20.0,CM,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1234078,1,0,0,0,0.0,-36.0,EPON,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1171331,1,0,0,0,0.0,65.33333333333333,CM,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1265962,1,0,0,0,0.0,1.0,EPON,0,0,1,0,0,0,0,1,1,0,0,0,0,0
92106,1,0,0,0,-1.0,-26.0,CM,0,0,1,0,0,0,1,0,0,0,0,0,1,0
39412,1,0,0,0,0.0,16.0,CM,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1246076,1,0,0,0,0.0,65.66666666666667,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
903532,2,0,0,0,3.5,28.5,EPON,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1089855,1,0,0,0,0.0,-5.0,EPON,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1259825,2,0,0,0,1.5,57.333333333333336,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
708798,2,0,1,0,4.333333333333333,-6.5,CM,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1265952,1,0,0,0,0.0,1.0,EPON,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1260718,1,0,1,0,4.5,59.66666666666666,CM,1,0,0,0,0,0,1,0,0,0,0,1,0,0
839110,1,0,0,0,0.0,18.0,EPON,1,0,0,0,0,0,0,1,0,0,1,0,0,0
928335,1,0,0,0,0.0,21.0,EPON,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1257051,1,0,0,0,0.0,55.66666666666666,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1167369,1,1,0,0,0.0,1.0,EPON,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1230226,1,0,0,0,0.0,71.66666666666667,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1159188,1,0,0,0,0.0,67.33333333333333,EPON,1,0,0,0,0,0,0,1,0,0,0,1,0,0
731781,1,0,0,0,0.0,-15.0,CM,0,0,1,0,0,0,1,0,0,0,0,0,1,0
