客編,平均繳款延遲日數,paytype_1,paytype_3,paytype_6,paytype_12,paytype_15,paytype_99,paymethod_APP臨櫃代收(7-11),paymethod_CVS臨櫃代收(7-11),paymethod_信用卡扣款,paymethod_其他繳款方式,paymethod_廠商代收,paymethod_當月繳帳單,paymethod_簡訊帳單臨櫃代收(7-11),paymethod_金融機構轉帳
1107235,-21.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
950469,-23.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
734283,25.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1027561,-16.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1028286,-41.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
942658,-4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
959227,-17.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1028088,-6.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
293366,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
951758,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1032001,-8.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1033598,-8.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1126954,-34.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1119365,-44.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1024908,61.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1033884,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
148713,-16.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1108275,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1114717,-44.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1151644,-25.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
960004,2.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
642287,-19.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
756948,-23.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
892254,-12.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
947987,-22.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
58799,-23.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
862133,-31.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
880610,-21.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1113851,-21.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1033686,-25.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1106432,-21.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
