客編,Prediction,Predicted_Class
10165,0.91074264,1
16315,0.9964283,1
21617,0.6582997,1
38962,0.807001,1
42889,0.9827419,1
46377,0.9395885,1
62937,0.6991397,1
68659,0.58817136,1
76975,0.6977537,1
93376,0.9771296,1
100734,0.8581849,1
102021,0.8165163,1
102478,0.89693224,1
112951,0.6562151,1
130821,0.9212041,1
133712,0.9422892,1
135465,0.92810434,1
146440,0.727924,1
147157,0.825184,1
148752,0.6034253,1
149479,0.67646205,1
681681,0.8562702,1
682654,0.72642887,1
683844,0.8588538,1
684516,0.6967733,1
685728,0.8141149,1
687810,0.9653984,1
692087,0.5295001,1
697825,0.8735072,1
697847,0.7551073,1
705657,0.8538714,1
709194,0.9392625,1
709360,0.62656075,1
711635,0.66585684,1
727477,0.9376194,1
728226,0.89763564,1
728709,0.61728644,1
730705,0.9639997,1
731113,0.9423424,1
736659,0.9397576,1
752975,0.63886213,1
756367,0.5527227,1
780099,0.658421,1
784536,0.9861469,1
817476,0.7800006,1
830178,0.7980691,1
830645,0.76896334,1
839399,0.50554967,1
841880,0.920617,1
849499,0.8338001,1
854060,0.50748956,1
873459,0.70463336,1
875367,0.51938486,1
879602,0.673728,1
880222,0.9316065,1
902036,0.9455747,1
906255,0.6748884,1
912173,0.66499263,1
928896,0.5507232,1
944734,0.70803034,1
946057,0.508553,1
966707,0.70552397,1
972584,0.76298165,1
978737,0.550719,1
988709,0.983416,1
1022181,0.5312932,1
1030560,0.9030012,1
1036693,0.9572731,1
1042866,0.75980955,1
1045070,0.97512627,1
1046425,0.8694084,1
1050806,0.6918883,1
1053856,0.50748956,1
1055999,0.98807895,1
1061405,0.6010582,1
1062761,0.91661525,1
1077990,0.84609836,1
1083092,0.83549255,1
1084024,0.52240396,1
1089855,0.9782519,1
1093169,0.9233558,1
1094735,0.658421,1
1094745,0.83549255,1
1096304,0.8588538,1
1127402,0.5677226,1
1143543,0.727924,1
1159139,0.5426042,1
1160969,0.65332055,1
1173182,0.9838923,1
1176669,0.543411,1
1234078,0.92643607,1
1236078,0.80493426,1
1252144,0.58229876,1
