客編,Prediction,Predicted_Class
84332,0.90653646,1
992370,0.90653646,1
1265503,1.0,1
3174048,1.0,1
3174084,1.0,1
3174158,1.0,1
3174284,1.0,1
3174309,1.0,1
3174353,1.0,1
3174526,1.0,1
3174556,1.0,1
3174619,1.0,1
3174622,1.0,1
3174825,1.0,1
3174929,1.0,1
3174938,1.0,1
3174942,1.0,1
3174959,1.0,1
3175115,1.0,1
3175221,1.0,1
3175255,1.0,1
3175478,1.0,1
3175760,1.0,1
3175993,1.0,1
3176217,1.0,1
3176339,1.0,1
3176525,1.0,1
3176548,1.0,1
3176797,1.0,1
3176898,1.0,1
3177083,1.0,1
3177106,1.0,1
3177537,1.0,1
3177543,1.0,1
3177596,1.0,1
3177659,1.0,1
3177969,1.0,1
3178089,1.0,1
3178323,1.0,1
3178464,1.0,1
3178525,1.0,1
3178869,1.0,1
3179727,1.0,1
3179731,1.0,1
3179799,1.0,1
3179848,1.0,1
3180138,1.0,1
3180182,1.0,1
3180292,1.0,1
3180679,1.0,1
3181236,1.0,1
3181241,1.0,1
3181561,1.0,1
3181642,1.0,1
3181696,1.0,1
3181699,1.0,1
3181704,1.0,1
3181727,1.0,1
3182081,1.0,1
3182293,1.0,1
3182298,1.0,1
3182313,1.0,1
3182342,1.0,1
3182488,1.0,1
3182490,1.0,1
3182538,1.0,1
3182578,1.0,1
3182646,1.0,1
3183013,1.0,1
3183852,1.0,1
3183853,1.0,1
3183875,1.0,1
3183884,1.0,1
3183940,1.0,1
3184010,1.0,1
3184095,1.0,1
3184425,1.0,1
3184452,1.0,1
3184528,1.0,1
3184739,1.0,1
3185232,1.0,1
3185245,1.0,1
3185292,1.0,1
3185436,1.0,1
3185600,1.0,1
3185964,1.0,1
3186144,1.0,1
3186164,1.0,1
3186185,1.0,1
3186689,1.0,1
